"ntd_id","agency","incident_description","mode","type_of_service","rail_bus_ferry","fixed_route_flag","year","incident_number","incident_date","incident_time","event_type","runaway_train_flag","safety_security","collision_with","property_damage","property_damage_type","total_injuries","total_fatalities","derailment_type","number_of_transit_vehicles","towed_y_n","number_of_vehicles_involved","number_of_derailed_cars","event_location","approximate_address","longitude","latitude","evacuation_comment","self_evacuation_y_n","evacuation_location","hazmat_type","hazmat_type_description","fire_type","fire_fuel","other_fire_fuel_description","weather","lighting","current_condition","tide","road_config","configuration","path_condition","rail_alignment","rail_grade_crossing_control","right_of_way_condition","intersection","service_stop_control_device","intentional_y_n","vehicle_action","action_type","transit_y_n","fuel_type","vehicle_speed","non_rail_transit_vehicle","manufacturer","manufacturer_description","other_involved_veh","other_vehicle_action","transit_vehicle_rider","people_waiting_or_leaving","transit_vehicle_operator","transit_employee_fatalities","other_worker_fatalities","bicyclist_fatalities","pedestrian_in_crosswalk","pedestrian_not_in_crosswalk","pedestrian_crossing_tracks","pedestrian_walking_along","occupant_of_other_vehicle","other_fatalities","suicide_fatalities","transit_vehicle_rider_injuries","transit_vehicle_rider_serious","people_waiting_or_leaving_1","people_waiting_or_leaving_2","transit_vehicle_operator_1","transit_vehicle_operator_2","transit_employee_injuries","transit_employee_serious","other_worker_injuries","other_worker_serious_injuries","bicyclist_injuries","bicyclist_serious_injuries","pedestrian_in_crosswalk_1","pedestrian_in_crosswalk_2","pedestrian_not_in_crosswalk_1","pedestrian_not_in_crosswalk_2","pedestrian_crossing_tracks_1","pedestrian_crossing_tracks_2","pedestrian_walking_along_1","pedestrian_walking_along_2","occupant_of_other_vehicle_1","occupant_of_other_vehicle_2","other_injuries","other_serious_injuries","suicide_injuries","suicide_serious_injuries","person_list"
"20100","MTA Long Island Rail Road","Male observed standing behind lowered gates .. the male then ran into the crossing , stopped in the middle of running rails and faced the train .","CR","DO","Rail","true","2009","1027827","2009-10-24","07:56:01","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Non-revenue facility","School Street Crossing",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Xing Tracks Adult (19 to 60) M"
"20100","MTA Long Island Rail Road","Unconscious female aided on train took unknown amount of pills from different bottles with beer .","CR","DO","Rail","true","2009","1027853","2009-12-03","20:14:50","Suicide",,"SEC",,,,"1","0",,"0","N","0",,"In transit vehicle","Hicksville Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","I   Passenger Adult (19 to 60) F"
"20100","MTA Long Island Rail Road","Gates were down and lights flashing , observed female on the tracks at the crossing walking south to north with head down , female did not attempt to vacate track area but rather attempted to line herself up with center of train .","CR","DO","Rail","true","2009","1028075","2009-12-14","21:52:16","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Non-revenue facility","Landing Ave/Port Jefferson",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Xing Tracks Adult (19 to 60) F"
"20100","MTA Long Island Rail Road","Subject jumped in front of train as it was about to pass . Central advised of a possible suicidal at station prior to incident .","CR","DO","Rail","true","2009","1028076","2009-12-19","20:07:51","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Non-revenue facility","Bellmore Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Walking Tracks Teen (13 to 18) M"
"20100","MTA Long Island Rail Road","engineer observed male perched on overpass of signal bridge , and as train proceeded person jumped from overpass onto the tracks","CR","DO","Rail","true","2009","1028081","2009-12-31","11:20:23","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Non-revenue facility","Woodside Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Other Senior Citizen (61 and up) M"
"90151","Southern California Regional Rail Authority","victim was seen by enginner walking southbound at the grade crossing . As the train approached , victim laid down on the tracks and placed his head on a rail just prior to being hit by the train .","CR","PT","Rail","true","2010","1029268","2010-04-26","18:04:57","Suicide",,"SEC",,"0",,"0","1",,"0","N","0",,"Other","State College St Grade Crossing, Fullerton, CA",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Other Adult (19 to 60) M"
"20100","MTA Long Island Rail Road","Male was struck who was under the platform at location . Manner of death ruled a Suicide .","CR","DO","Rail","true","2010","1034056","2010-02-11","00:51:58","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Revenue facility: other","Copiague Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Other Adult (19 to 60) M"
"20100","MTA Long Island Rail Road","When train was approximately < REDACTED > away the subject turned and faced the train . He ran north on the platform towards the front of the train .","CR","DO","Rail","true","2010","1034059","2010-03-09","17:42:49","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Revenue facility: transit station","Lynbrook Station",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Wait Leave Teen (13 to 18) M"
"20100","MTA Long Island Rail Road","victim walked down platform ladder onto right of way then between the running rails of main line track 3 . The male on the tracks then placed both his hands up in front of him , in what appeared to be a stop gesture , all the time standing still . victim made no attempts to move out the way .","CR","DO","Rail","true","2010","1034062","2010-04-14","15:24:14","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Revenue facility: transit station","Kew Gardens Sation",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Wait Leave Adult (19 to 60) M"
"20100","MTA Long Island Rail Road","Observed male with a bicycle enter the running rails from north side of tracks , placed the bicycle across running rails and faced the train . As the train approached , he raised his right hand and displayed the ` ` peace sign '' at which time he was struck by train .","CR","DO","Rail","true","2010","1034176","2010-05-24","20:05:50","Suicide",,"SEC",,,,"0","1",,"0","N","0",,"Non-revenue facility","Mills Pond Rd/Port Jefferson",,,,"N",,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Walking Tracks Adult (19 to 60) M"
